release_run_id,origin_day,movie_id,title,opening_weekend_start,forecast_origin_date,release_year,release_month,season_bucket,release_type,release_width_bucket,is_wide_release,is_large_release,genre,distributor,franchise,is_franchise,is_doc_concert,opening_weekend_theaters,actual_opening_weekend_gross_usd,latest_estimate_date,earliest_estimate_date,source_count,estimate_count,dollar_median_consensus_usd,mean_estimate_mid_usd,min_estimate_mid_usd,max_estimate_mid_usd,estimate_mid_stddev_usd,log_mean_consensus_usd,log_median_consensus_usd,source_bias_adjusted_log_mean_consensus_usd,source_bias_adjusted_log_median_consensus_usd,mean_source_age_days,min_source_age_days,max_source_age_days,source_range_inside_rate,reliability_weighted_sources,source_bias_adjusted_reliability_weighted_sources,log_dispersion,estimate_sources,recency_weighted_log_consensus_lambda_0_usd,recency_reliability_weighted_log_consensus_lambda_0_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0_usd,recency_weighted_log_consensus_lambda_0.02_usd,recency_reliability_weighted_log_consensus_lambda_0.02_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0.02_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0.02_usd,recency_weighted_log_consensus_lambda_0.05_usd,recency_reliability_weighted_log_consensus_lambda_0.05_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0.05_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0.05_usd,recency_weighted_log_consensus_lambda_0.1_usd,recency_reliability_weighted_log_consensus_lambda_0.1_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0.1_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0.1_usd,recency_weighted_log_consensus_lambda_0.2_usd,recency_reliability_weighted_log_consensus_lambda_0.2_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0.2_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0.2_usd,recency_weighted_log_consensus_lambda_0.35_usd,recency_reliability_weighted_log_consensus_lambda_0.35_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0.35_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0.35_usd,recency_weighted_log_consensus_lambda_0.5_usd,recency_reliability_weighted_log_consensus_lambda_0.5_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0.5_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0.5_usd,recency_weighted_log_consensus_lambda_0.75_usd,recency_reliability_weighted_log_consensus_lambda_0.75_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_0.75_usd,source_bias_adjusted_recency_reliability_weighted_lambda_0.75_usd,recency_weighted_log_consensus_lambda_1_usd,recency_reliability_weighted_log_consensus_lambda_1_usd,source_bias_adjusted_recency_weighted_log_consensus_lambda_1_usd,source_bias_adjusted_recency_reliability_weighted_lambda_1_usd,source_reliability_weighted_log_consensus_usd,source_bias_adjusted_reliability_weighted_log_consensus_usd,age_cap_3d_strict_dollar_median_consensus_usd,age_cap_3d_strict_log_mean_consensus_usd,age_cap_3d_strict_log_median_consensus_usd,age_cap_3d_strict_source_count,age_cap_3d_fallback_dollar_median_consensus_usd,age_cap_3d_fallback_log_mean_consensus_usd,age_cap_3d_fallback_log_median_consensus_usd,age_cap_7d_strict_dollar_median_consensus_usd,age_cap_7d_strict_log_mean_consensus_usd,age_cap_7d_strict_log_median_consensus_usd,age_cap_7d_strict_source_count,age_cap_7d_fallback_dollar_median_consensus_usd,age_cap_7d_fallback_log_mean_consensus_usd,age_cap_7d_fallback_log_median_consensus_usd,age_cap_14d_strict_dollar_median_consensus_usd,age_cap_14d_strict_log_mean_consensus_usd,age_cap_14d_strict_log_median_consensus_usd,age_cap_14d_strict_source_count,age_cap_14d_fallback_dollar_median_consensus_usd,age_cap_14d_fallback_log_mean_consensus_usd,age_cap_14d_fallback_log_median_consensus_usd,log_actual_opening_weekend,evaluation_subset,primary_point_method,mean_point_method,primary_point_forecast_usd,mean_point_forecast_usd
3529,-2,14565,xXx: Return of Xander Cage (2017),2017-01-20,2017-01-18,2017,1,winter_spring,movie_page_full_run,large_wide,True,True,Action,,xXx,True,False,3651,20130142.0,2017-01-18,2017-01-18,1,1,22000000.0,22000000.0,22000000.0,22000000.0,,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,0.0,0,0,0.0,0,0,0.0,boxofficereport,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,22000000.0,21999999.999999993,21999999.999999993,1.0,22000000.0,21999999.999999993,21999999.999999993,22000000.0,21999999.999999993,21999999.999999993,1.0,22000000.0,21999999.999999993,21999999.999999993,22000000.0,21999999.999999993,21999999.999999993,1.0,22000000.0,21999999.999999993,21999999.999999993,16.817728851739133,train,dollar_median_consensus_usd,source_bias_adjusted_log_mean_consensus_usd,22000000.0,21999999.999999993
3529,-1,14565,xXx: Return of Xander Cage (2017),2017-01-20,2017-01-19,2017,1,winter_spring,movie_page_full_run,large_wide,True,True,Action,,xXx,True,False,3651,20130142.0,2017-01-18,2017-01-18,1,1,22000000.0,22000000.0,22000000.0,22000000.0,,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,1.0,1,1,0.0,0,0,0.0,boxofficereport,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,21999999.999999993,22000000.0,21999999.999999993,21999999.999999993,1.0,22000000.0,21999999.999999993,21999999.999999993,22000000.0,21999999.999999993,21999999.999999993,1.0,22000000.0,21999999.999999993,21999999.999999993,22000000.0,21999999.999999993,21999999.999999993,1.0,22000000.0,21999999.999999993,21999999.999999993,16.817728851739133,train,recency_weighted_log_consensus_lambda_1_usd,source_bias_adjusted_log_mean_consensus_usd,21999999.999999993,21999999.999999993
1370,-2,10280,Free Fire (2017),2017-04-21,2017-04-19,2017,4,winter_spring,movie_page_full_run,wide,True,False,Action,,,False,False,1070,994430.0,2017-04-19,2017-04-19,1,1,3700000.0,3700000.0,3700000.0,3700000.0,,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,0.0,0,0,0.0,0,0,0.0,boxofficereport,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3700000.0,3699999.9999999986,3699999.9999999986,1.0,3700000.0,3699999.9999999986,3699999.9999999986,3700000.0,3699999.9999999986,3699999.9999999986,1.0,3700000.0,3699999.9999999986,3699999.9999999986,3700000.0,3699999.9999999986,3699999.9999999986,1.0,3700000.0,3699999.9999999986,3699999.9999999986,13.809924987669664,train,dollar_median_consensus_usd,source_bias_adjusted_log_mean_consensus_usd,3700000.0,3699999.9999999986
1370,-1,10280,Free Fire (2017),2017-04-21,2017-04-20,2017,4,winter_spring,movie_page_full_run,wide,True,False,Action,,,False,False,1070,994430.0,2017-04-19,2017-04-19,1,1,3700000.0,3700000.0,3700000.0,3700000.0,,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,1.0,1,1,0.0,0,0,0.0,boxofficereport,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.999999992,3699999.999999992,3699999.999999992,3699999.999999992,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3699999.9999999986,3700000.0,3699999.9999999986,3699999.9999999986,1.0,3700000.0,3699999.9999999986,3699999.9999999986,3700000.0,3699999.9999999986,3699999.9999999986,1.0,3700000.0,3699999.9999999986,3699999.9999999986,3700000.0,3699999.9999999986,3699999.9999999986,1.0,3700000.0,3699999.9999999986,3699999.9999999986,13.809924987669664,train,recency_weighted_log_consensus_lambda_1_usd,source_bias_adjusted_log_mean_consensus_usd,3699999.9999999986,3699999.9999999986
2546,-2,12632,Phoenix Forgotten (2017),2017-04-21,2017-04-19,2017,4,winter_spring,movie_page_full_run,wide,True,False,Horror,,,False,False,1633,1816499.0,2017-04-19,2017-04-19,1,1,3300000.0,3300000.0,3300000.0,3300000.0,,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,0.0,0,0,0.0,0,0,0.0,boxofficereport,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3300000.0,3299999.999999999,3299999.999999999,1.0,3300000.0,3299999.999999999,3299999.999999999,3300000.0,3299999.999999999,3299999.999999999,1.0,3300000.0,3299999.999999999,3299999.999999999,3300000.0,3299999.999999999,3299999.999999999,1.0,3300000.0,3299999.999999999,3299999.999999999,14.412421580134021,train,dollar_median_consensus_usd,source_bias_adjusted_log_mean_consensus_usd,3300000.0,3299999.999999999
2546,-1,12632,Phoenix Forgotten (2017),2017-04-21,2017-04-20,2017,4,winter_spring,movie_page_full_run,wide,True,False,Horror,,,False,False,1633,1816499.0,2017-04-19,2017-04-19,1,1,3300000.0,3300000.0,3300000.0,3300000.0,,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,1.0,1,1,0.0,0,0,0.0,boxofficereport,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.9999999935,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3299999.999999999,3300000.0,3299999.999999999,3299999.999999999,1.0,3300000.0,3299999.999999999,3299999.999999999,3300000.0,3299999.999999999,3299999.999999999,1.0,3300000.0,3299999.999999999,3299999.999999999,3300000.0,3299999.999999999,3299999.999999999,1.0,3300000.0,3299999.999999999,3299999.999999999,14.412421580134021,train,recency_weighted_log_consensus_lambda_1_usd,source_bias_adjusted_log_mean_consensus_usd,3299999.999999999,3299999.999999999
2090,-2,11720,Lowriders (2017),2017-05-12,2017-05-10,2017,5,summer,movie_page_full_run,limited,False,False,Drama,,,False,False,295,2403885.0,2017-05-10,2017-05-10,1,1,1300000.0,1300000.0,1300000.0,1300000.0,,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,0.0,0,0,0.0,0,0,0.0,boxofficereport,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1300000.0,1299999.9999999998,1299999.9999999998,1.0,1300000.0,1299999.9999999998,1299999.9999999998,1300000.0,1299999.9999999998,1299999.9999999998,1.0,1300000.0,1299999.9999999998,1299999.9999999998,1300000.0,1299999.9999999998,1299999.9999999998,1.0,1300000.0,1299999.9999999998,1299999.9999999998,14.692596736554577,train,dollar_median_consensus_usd,source_bias_adjusted_log_mean_consensus_usd,1300000.0,1299999.9999999998
2090,-1,11720,Lowriders (2017),2017-05-12,2017-05-11,2017,5,summer,movie_page_full_run,limited,False,False,Drama,,,False,False,295,2403885.0,2017-05-10,2017-05-10,1,1,1300000.0,1300000.0,1300000.0,1300000.0,,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1.0,1,1,0.0,0,0,0.0,boxofficereport,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1300000.000000002,1300000.000000002,1300000.000000002,1300000.000000002,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1299999.9999999998,1300000.0,1299999.9999999998,1299999.9999999998,1.0,1300000.0,1299999.9999999998,1299999.9999999998,1300000.0,1299999.9999999998,1299999.9999999998,1.0,1300000.0,1299999.9999999998,1299999.9999999998,1300000.0,1299999.9999999998,1299999.9999999998,1.0,1300000.0,1299999.9999999998,1299999.9999999998,14.692596736554577,train,recency_weighted_log_consensus_lambda_1_usd,source_bias_adjusted_log_mean_consensus_usd,1299999.9999999998,1299999.9999999998
3326,-2,14159,The Wall (2017),2017-05-12,2017-05-10,2017,5,summer,movie_page_full_run,limited,False,False,Thriller/Suspense,,,False,False,540,897955.0,2017-05-10,2017-05-10,1,1,1700000.0,1700000.0,1700000.0,1700000.0,,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,0.0,0,0,0.0,0,0,0.0,boxofficereport,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1700000.0,1699999.999999999,1699999.999999999,1.0,1700000.0,1699999.999999999,1699999.999999999,1700000.0,1699999.999999999,1699999.999999999,1.0,1700000.0,1699999.999999999,1699999.999999999,1700000.0,1699999.999999999,1699999.999999999,1.0,1700000.0,1699999.999999999,1699999.999999999,13.707875234670146,train,dollar_median_consensus_usd,source_bias_adjusted_log_mean_consensus_usd,1700000.0,1699999.999999999
3326,-1,14159,The Wall (2017),2017-05-12,2017-05-11,2017,5,summer,movie_page_full_run,limited,False,False,Thriller/Suspense,,,False,False,540,897955.0,2017-05-10,2017-05-10,1,1,1700000.0,1700000.0,1700000.0,1700000.0,,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1.0,1,1,0.0,0,0,0.0,boxofficereport,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1700000.000000002,1700000.000000002,1700000.000000002,1700000.000000002,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1699999.999999999,1700000.0,1699999.999999999,1699999.999999999,1.0,1700000.0,1699999.999999999,1699999.999999999,1700000.0,1699999.999999999,1699999.999999999,1.0,1700000.0,1699999.999999999,1699999.999999999,1700000.0,1699999.999999999,1699999.999999999,1.0,1700000.0,1699999.999999999,1699999.999999999,13.707875234670146,train,recency_weighted_log_consensus_lambda_1_usd,source_bias_adjusted_log_mean_consensus_usd,1699999.999999999,1699999.999999999
