movie_id,release_date,friday_date,saturday_date,sunday_date,pre_fri_usd,pre_sat_usd,pre_sun_usd,after_fri_sat_usd,after_fri_sun_usd,after_sat_sun_usd,actual_fri_usd,actual_sat_usd,actual_sun_usd,actual_ow_usd,release_run_id,title,pre_weekend_origin_day,forecast_origin_date,total_forecast_usd,total_forecast_source,shape_model,after_friday_baseline_model,after_saturday_baseline_model
279,2024-03-08,2024-03-08,2024-03-09,2024-03-10,1509514.4129017694,1423581.781434478,1115322.2304631574,2665180.6253497587,1716203.5937775846,1677684.0828266186,3091042.0,2354735.0,1722743.0,7168520.0,279,Cabrini (2024),-1,2024-03-07,4048418.4247994046,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
112,2024-03-15,2024-03-15,2024-03-16,2024-03-17,3714246.304369712,3331428.463004418,2527380.7332938104,2723858.536915457,2205736.953061735,1996348.9636159227,2994621.0,2801266.0,1838011.0,7633898.0,112,Arthur the King (2024),-1,2024-03-14,9573055.50066794,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
337,2024-04-12,2024-04-12,2024-04-13,2024-04-14,9568820.3823719,8582586.604907472,6511160.082815176,9488954.374479737,6712573.245577242,6239247.620881571,10817252.0,8761974.0,5958142.0,25537368.0,337,Civil War (2024),-1,2024-04-11,24662567.07009455,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
24,2024-04-19,2024-04-19,2024-04-20,2024-04-21,6031081.350262379,5409473.262266256,4103884.760590045,3680894.153416888,2988147.707581504,2682605.6308869147,4033895.0,3768955.0,2494260.0,10297110.0,24,Abigail (2024),-1,2024-04-18,15544439.37311868,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
249,2024-04-26,2024-04-26,2024-04-27,2024-04-28,892560.9136735442,800566.9492836347,607348.3209381398,745916.466176403,574254.5243161317,352269.29269240244,828560.0,495271.0,358694.0,1682525.0,249,Boy Kills World (2024),-1,2024-04-25,2300476.183895319,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
304,2024-04-26,2024-04-26,2024-04-27,2024-04-28,5650840.778204398,5329153.476696413,4175189.2442177194,5525758.724282612,4005674.056518275,3525658.905046158,6255921.0,4956880.0,3798260.0,15011061.0,304,Challengers (2024),-1,2024-04-25,15155183.49911853,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
141,2024-05-17,2024-05-17,2024-05-18,2024-05-19,1203711.1258401969,1135187.0602957923,889375.925284902,1095506.3077492462,824430.6921583264,665913.3560734433,1237795.0,935420.0,662505.0,2835720.0,141,Back to Black (2024),-1,2024-05-16,3228274.1114208912,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
145,2024-06-07,2024-06-07,2024-06-08,2024-06-09,17226594.093116067,15451093.217731368,11721937.223170424,18682628.20404394,13277347.893953755,13857414.362516183,21501365.0,19466683.0,15559276.0,56527324.0,145,Bad Boys: Ride or Die (2024),-1,2024-06-06,44399624.53401786,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
188,2024-06-21,2024-06-21,2024-06-22,2024-06-23,2868552.5040774015,2705253.4569993396,2119463.2854800564,3572850.905729264,2542052.0776448925,2275909.2008719416,4109865.0,3193735.0,2394675.0,9698275.0,188,The Bikeriders (2024),-1,2024-06-20,7693269.246556797,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
245,2024-08-09,2024-08-09,2024-08-10,2024-08-11,3471292.037069634,3113514.86897603,2362061.073818527,3436406.884991093,2500705.75210683,1955710.1332826223,3937653.0,2743126.0,1920793.0,8601572.0,245,Borderlands (2024),-1,2024-08-08,8946867.979864191,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
53,2024-08-16,2024-08-16,2024-08-17,2024-08-18,17454572.94297393,15655574.872188684,11877066.771808963,15767719.182890687,11583581.65017225,9688290.038185297,18083803.0,13591254.0,10328304.0,42003361.0,53,Alien: Romulus (2024),-1,2024-08-15,44987214.58697158,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
214,2024-08-23,2024-08-23,2024-08-24,2024-08-25,2323577.8477886445,2084092.6378583868,1581092.2064862528,2507504.8704499328,1806040.8369368415,1858762.06438522,2900405.0,2606069.0,1795420.0,7301894.0,214,Blink Twice (2024),-1,2024-08-22,5988762.692133284,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
37,2024-08-30,2024-08-30,2024-08-31,2024-09-01,2173574.4726241254,1949549.7258867456,1479021.528008676,1194909.7102940613,1030369.8362802636,873830.1768544697,1309482.0,1225529.0,1130653.0,3665664.0,37,Afraid (2024),-1,2024-08-29,5602145.7265195465,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
170,2024-09-06,2024-09-06,2024-09-07,2024-09-08,41688146.69357542,37391456.32358597,28366944.49587611,36358588.52932974,26611721.70241237,29875481.681891184,41815736.0,41804322.0,27383287.0,111003345.0,170,Beetlejuice Beetlejuice (2024),-1,2024-09-05,107446547.5130375,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
99,2024-10-11,2024-10-11,2024-10-12,2024-10-13,1403216.0377488644,1323334.6894091235,1036782.443193261,548573.2131891971,504508.803852614,393956.3826066426,590628.0,552034.0,470571.0,1613233.0,99,The Apprentice (2024),-1,2024-10-10,3763333.1703512487,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
363,2024-10-25,2024-10-25,2024-10-26,2024-10-27,2116125.914914602,1898022.2436928756,1439930.3191839545,2201313.794341022,1608364.9850103278,1655757.8033865856,2527720.0,2316590.0,1757685.0,6601995.0,363,Conclave (2024),-1,2024-10-24,5454078.477791432,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
178,2024-11-08,2024-11-08,2024-11-09,2024-11-10,2152628.580303082,1973526.346425871,1511193.268490158,4202311.429974308,2807614.050746994,2356119.868767194,4950596.0,3294792.0,2528171.0,10773559.0,178,The Best Christmas Pageant Ever (2024),-1,2024-11-07,5637348.19521911,late_by_origin_common_predictions,refine_window_last5y_broad_direct_median_grid_calibrated,AF2+C0,AS0
