source,movie_key,source_movie_id,source_title,movie_id,canonical_title,canonical_release_date,identity_status,raw_match_statuses,estimate_rows,min_target_start_date,max_target_start_date,min_target_end_date,max_target_end_date,min_estimate_usd,max_estimate_usd
boxofficepro,-ad-imes-at-the-l-oyale:2018-10-12,,Bad Times at the El Royale,,,,unmatched,unmatched,1,2018-10-12,2018-10-12,2018-10-14,2018-10-14,8300000.000000000000,8300000.000000000000
boxofficepro,-irst-an:2018-10-12,,First Man,,,,unmatched,unmatched,1,2018-10-12,2018-10-12,2018-10-14,2018-10-14,20000000.000000000000,20000000.000000000000
boxofficepro,-oosebumps-aunted-alloween:2018-10-12,,Goosebumps: Haunted Halloween,,,,unmatched,unmatched,1,2018-10-12,2018-10-12,2018-10-14,2018-10-14,18600000.000000000000,18600000.000000000000
boxofficepro,-enom:2018-10-12,,Venom,,,,unmatched,unmatched,1,2018-10-12,2018-10-12,2018-10-14,2018-10-14,30000000.000000000000,30000000.000000000000
boxofficepro,-ild-ard-py-ode-x-amily-hite:2024-04-19,,Wild Card: Spy Code x Family: White,,,,unmatched,unmatched,1,2024-04-19,2024-04-19,2024-04-21,2024-04-21,11000000.000000000000,11000000.000000000000
boxofficepro,boxofficepro:US_CA:a-quiet-place-day-one:2024-06-21,boxofficepro:US_CA:a-quiet-place-day-one:2024-06-21,. A Quiet Place: Day One,7026,. A Quiet Place: Day One,2024-06-21,matched,provisional,1,2024-06-21,2024-06-21,2024-06-23,2024-06-23,52500000.000000000000,52500000.000000000000
boxofficepro,boxofficepro:US_CA:10-cloverfield-lane:2016-02-05,boxofficepro:US_CA:10-cloverfield-lane:2016-02-05,10 Cloverfield Lane,6435,10 Cloverfield Lane,2016-03-11,matched,provisional,1,2016-02-05,2016-02-05,2016-02-07,2016-02-07,31000000.000000000000,31000000.000000000000
boxofficepro,boxofficepro:US_CA:10-cloverfield-lane:2016-02-12,boxofficepro:US_CA:10-cloverfield-lane:2016-02-12,10 Cloverfield Lane,6435,10 Cloverfield Lane,2016-03-11,matched,provisional,1,2016-02-12,2016-02-12,2016-02-14,2016-02-14,31000000.000000000000,31000000.000000000000
boxofficepro,boxofficepro:US_CA:10-cloverfield-lane:2016-02-19,boxofficepro:US_CA:10-cloverfield-lane:2016-02-19,10 Cloverfield Lane,6435,10 Cloverfield Lane,2016-03-11,matched,provisional,1,2016-02-19,2016-02-19,2016-02-21,2016-02-21,31000000.000000000000,31000000.000000000000
boxofficepro,boxofficepro:US_CA:10-cloverfield-lane:2016-02-26,boxofficepro:US_CA:10-cloverfield-lane:2016-02-26,10 Cloverfield Lane,6435,10 Cloverfield Lane,2016-03-11,matched,provisional,1,2016-02-26,2016-02-26,2016-02-28,2016-02-28,31000000.000000000000,31000000.000000000000
