cause_bucket,prediction_id,source_movie_id,source_movie_title,forecast_weekend,match_status,match_method,match_notes,post_title,published_date,weekend_forecast_usd,raw_forecast_text
ambiguous_remaining_manual_review,1236,edwarddouglas_substack:US_CA:iron-lung,Iron Lung,2026-01-23,ambiguous,normalized_exact,Multiple movies share the title,"THE WEEKEND WARRIOR Jan. 30, 2026 (“Print” Edition)",2026-01-29,10200000,2. Iron Lung (Markiplier Studios) - $10.2 million* N/A
ambiguous_remaining_manual_review,1241,edwarddouglas_substack:US_CA:melania,Melania,2026-01-23,ambiguous,normalized_exact,Multiple movies share the title,"THE WEEKEND WARRIOR Jan. 30, 2026 (“Print” Edition)",2026-01-29,3000000,7. Melania (Amazon MGM) - $3 million* N/A
ambiguous_remaining_manual_review,1235,edwarddouglas_substack:US_CA:send-help,Send Help,2026-01-23,ambiguous,normalized_exact,Multiple movies share the title,"THE WEEKEND WARRIOR Jan. 30, 2026 (“Print” Edition)",2026-01-29,14500000,1. Send Help (20th Century) - $14.5 million N/A
ambiguous_remaining_manual_review,1237,edwarddouglas_substack:US_CA:shelter,Shelter,2026-01-23,ambiguous,normalized_exact,Multiple movies share the title,"THE WEEKEND WARRIOR Jan. 30, 2026 (“Print” Edition)",2026-01-29,5700000,3. Shelter (Black Bear) - $5.7 million N/A
ambiguous_remaining_manual_review,1469,edwarddouglas_substack:US_CA:peddi,Peddi,2026-06-05,ambiguous,normalized_exact,Multiple movies share the title,"THE WEEKEND WARRIOR SHOW for June 5, 2026",2026-06-02,2700000,– Peddi (Prathyangira Cinemas) - $2.7 million N/A
ambiguous_remaining_manual_review,1521,edwarddouglas_substack:US_CA:gail-daughtry-and-the-celebrity-sex-pass,Gail Daughtry and the Celebrity Sex Pass,2026-07-10,ambiguous,normalized_exact,Multiple movies share the title,"THE WEEKEND WARRIOR SHOW for July 10, 2026",2026-07-07,2700000,10. Gail Daughtry and the Celebrity Sex Pass (Sony Pictures Classics) - $2.7 million N/A
matched,1020,edwarddouglas_substack:US_CA:air,Air,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-04-04 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,4300000,6. Air (Amazon) - $4.3 million -45%
matched,1018,edwarddouglas_substack:US_CA:beau-is-afraid,Beau is Afraid,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-04-14 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,5000000,4. Beau is Afraid (A24) - $5 million +1562%
matched,1024,edwarddouglas_substack:US_CA:chevalier,Chevalier,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-04-21 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,2700000,10. Chevalier (Searchlight) - $2.7 million N/A
matched,1022,edwarddouglas_substack:US_CA:dungeons-and-dragons-honor-among-thieves,Dungeons & Dragons: Honor Among Thieves,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-03-31 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,3800000,8. Dungeons & Dragons: Honor Among Thieves (Paramount) - $3.8 million -50%
matched,1016,edwarddouglas_substack:US_CA:evil-dead-rise,Evil Dead Rise,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-04-21 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,17800000,2. Evil Dead Rise (Warner Bros.) - $17.8 million N/A
matched,1017,edwarddouglas_substack:US_CA:guy-ritchies-the-covenant,Guy Ritchie’s The Covenant,2023-04-21,matched,weekly_forecast_daily_alias_activity_window,Matched weekly forecast to daily chart title 'Guy Ritchie’s The Covenant' active 2023-04-21 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,8500000,3. Guy Ritchie’s The Covenant (MGM) - $8.5 million N/A
matched,1019,edwarddouglas_substack:US_CA:john-wick-chapter-4,John Wick: Chapter 4,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-03-24 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,4600000,5. John Wick: Chapter 4 (Lionsgate) - $4.6 million -43%
matched,1023,edwarddouglas_substack:US_CA:renfield,Renfield,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-04-14 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,3200000,9. Renfield (Universal) - $3.2 million -60%
matched,1021,edwarddouglas_substack:US_CA:the-popes-exorcist,The Pope’s Exorcist,2023-04-21,matched,weekly_forecast_daily_alias_activity_window,Matched weekly forecast to daily chart title 'The Pope’s Exorcist' active 2023-04-14 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,4100000,7. The Pope’s Exorcist (Sony) - $4.1 million -55%
matched,1015,edwarddouglas_substack:US_CA:the-super-mario-bros-movie,The Super Mario Bros. Movie,2023-04-21,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2023-04-05 through 2023-04-27,"The Weekend Warrior April 21, 2023",2023-04-20,57300000,1. The Super Mario Bros. Movie (Universal) - $57.3 million -39%
matched,1032,edwarddouglas_substack:US_CA:absolution,Absolution,2024-11-01,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2024-11-01 through 2024-11-07,"THE WEEKEND WARRIOR November 1, 2024",2024-10-31,2000000,8. Absolution (Samuel Goldwyn) - $2 million N/A
matched,1034,edwarddouglas_substack:US_CA:anora,Anora,2024-11-01,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2024-10-18 through 2024-11-07,"THE WEEKEND WARRIOR November 1, 2024",2024-10-31,1600000,10. Anora (Neon) - $1.6 million +72%
matched,1033,edwarddouglas_substack:US_CA:beetlejuice-beetlejuice,Beetlejuice Beetlejuice,2024-11-01,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2024-09-05 through 2024-11-07,"THE WEEKEND WARRIOR November 1, 2024",2024-10-31,1900000,9. Beetlejuice Beetlejuice (Warner Bros.) - $1.9 million -38%
matched,1029,edwarddouglas_substack:US_CA:conclave,Conclave,2024-11-01,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2024-10-24 through 2024-11-07,"THE WEEKEND WARRIOR November 1, 2024",2024-10-31,3600000,5. Conclave (Focus Features) - $3.6 million -45%
matched,1026,edwarddouglas_substack:US_CA:here,Here,2024-11-01,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2024-11-01 through 2024-11-07,"THE WEEKEND WARRIOR November 1, 2024",2024-10-31,7300000,2. Here (Sony) - $7.3 million N/A
matched,1028,edwarddouglas_substack:US_CA:smile-2,Smile 2,2024-11-01,matched,weekly_forecast_title_activity_window,Matched weekly forecast to active release window 2024-10-18 through 2024-11-07,"THE WEEKEND WARRIOR November 1, 2024",2024-10-31,4400000,4. Smile 2 (Paramount) - $4.4 million -53%
