cause_bucket,prediction_id,source_context,match_status,source_movie_title,target_start_date,target_end_date,weekend_gross_prediction_usd,title_candidate_count,canonical_title_candidate_count,article_id,article_title,article_url,discovered_date,raw_forecast_text,match_method,match_notes
ambiguous_or_wrong_date_candidate,1881,single_movie_prediction,ambiguous,Spider-Man: Homecoming,2017-07-04,2017-07-06,117800000,21,1,1627,Spider-Man: Homecoming Box Office Prediction,https://toddmthatcher.com/2017/06/27/spider-man-homecoming-box-office-prediction/,2017-06-27,Spider-Man: Homecoming opening weekend prediction: $117.8 million,normalized_exact,Multiple movies share the title
ambiguous_or_wrong_date_candidate,1805,single_movie_prediction,ambiguous,How to Be a Latin Lover,2017-05-05,2017-05-07,6300000,11,1,1559,How to Be a Latin Lover Box Office Prediction,https://toddmthatcher.com/2017/04/21/how-to-be-a-latin-lover-box-office-prediction/,2017-04-21,How to Be a Latin Lover opening weekend prediction: $6.3 million,normalized_exact,Multiple movies share the title
ambiguous_or_wrong_date_candidate,1710,single_movie_prediction,ambiguous,Fifty Shades Darker,2017-02-20,2017-02-22,44800000,10,1,1475,Fifty Shades Darker Box Office Prediction,https://toddmthatcher.com/2017/02/01/fifty-shades-darker-box-office-prediction/,2017-02-01,Fifty Shades Darker opening weekend prediction: $44.8 million,normalized_exact,Multiple movies share the title
ambiguous_or_wrong_date_candidate,1217,single_movie_prediction,ambiguous,The Big Short,2015-12-23,2015-12-25,8100000,3,1,1031,The Big Short Box Office Prediction,https://toddmthatcher.com/2015/12/16/the-big-short-box-office-prediction/,2015-12-16,"The Big Short opening weekend prediction: $8.1 million (Friday to Sunday), $10.6 million (Wednesday to Sunday)",normalized_exact,Multiple movies share the title
matched_or_provisional,2002,weekly_ranked_predictions,provisional,Boo 2! A Madea Halloween,2017-10-20,2017-10-22,22600000,4,0,1739,Box Office Predictions: October 20-22,https://toddmthatcher.com/2017/10/16/box-office-predictions-october-20-22/,2017-10-16,"1. Boo 2! A Madea Halloween
Predicted Gross: $22.6 million",normalized_exact_release_date,
matched_or_provisional,1903,weekly_ranked_predictions,provisional,Valerian and the City of a Thousand Planets,2017-07-21,2017-07-23,17800000,2,1,1643,Box Office Predictions: July 21-23,https://toddmthatcher.com/2017/07/17/box-office-predictions-july-21-23/,2017-07-17,"5. Valerian and the City of a Thousand Planets
Predicted Gross: $17.8 million",normalized_exact,
matched_or_provisional,1888,single_movie_prediction,provisional,Valerian and the City of a Thousand Planets,,,17800000,2,1,1633,Valerian and the City of a Thousand Planets Box Office Prediction,https://toddmthatcher.com/2017/07/12/valerian-and-the-city-of-a-thousand-planets-box-office-predictions/,2017-07-12,Valerian and the City of a Thousand Planets opening weekend prediction: $17.8 million,normalized_exact,
matched_or_provisional,1742,weekly_ranked_predictions,provisional,John Wick: Chapter 2,2017-03-03,2017-03-05,5600000,1,0,1505,Box Office Predictions: March 3-5,https://toddmthatcher.com/2017/02/28/box-office-predictions-march-3-5/,2017-02-28,"5. John Wick: Chapter 2
Predicted Gross: $5.6 million (representing a drop of 39%)",normalized_exact,
matched_or_provisional,1733,weekly_ranked_predictions,provisional,John Wick: Chapter 2,2017-02-24,2017-02-26,8400000,1,0,1497,Box Office Predictions: February 24-26,https://toddmthatcher.com/2017/02/21/box-office-predictions-february-24-26/,2017-02-21,"4. John Wick: Chapter 2
Predicted Gross: $8.4 million (representing a drop of 48%)",normalized_exact,
matched_or_provisional,1726,weekly_ranked_predictions,provisional,John Wick: Chapter 2,2017-02-17,2017-02-20,21500000,1,0,1493,Box Office Predictions: February 17-20,https://toddmthatcher.com/2017/02/13/box-office-predictions-february-17-20/,2017-02-13,"4. John Wick: Chapter 2
Predicted Gross: $21.5 million (representing a drop of 29%)",normalized_exact,
matched_or_provisional,1715,weekly_ranked_predictions,provisional,John Wick: Chapter 2,2017-02-10,2017-02-12,20700000,1,0,1481,Box Office Predictions: February 10-12,https://toddmthatcher.com/2017/02/06/box-office-predictions-february-10-12/,2017-02-06,"3. John Wick: Chapter 2
Predicted Gross: $20.7 million",normalized_exact,
